,          Burkholderiaceae,          Rhodocyclaceae,          Aquaspirillaceae,          Neisseriaceae,          Nitrosomonadaceae,          Chromobacteriaceae,          Hydrogenophilaceae,          Methylophilaceae,          Chitinibacteraceae,          Gallionellaceae,          SG8-39,          Sulfuricellaceae,          SG8-41,          Ga0077523,          Chitinimonadaceae,          Sulfuriferulaceae,          UKL13-2,          Ferrovaceae,          Palsa-1005,          Leeiaceae,          UBA6910,          UBA11063,          RBG-16-58-11,          SG8-40,          UBA3065,          2013Ark19i,          Moraxellaceae,          Pseudomonadaceae,          Halomonadaceae,          Cellvibrionaceae,          Oleiphilaceae,          Nitrincolaceae,          Alcanivoracaceae,          Halieaceae,          Saccharospirillaceae,          HTCC2089,          Porticoccaceae,          UBA7239,          Pseudohongiellaceae,          UBA5518,          Marinomonadaceae,          Ketobacteraceae,          Spongiibacteraceae,          Endozoicomonadaceae,          Litoricolaceae,          UBA7434,          UBA3067,          Zooshikellaceae,          UBA5862
          Halomonadaceae,-0.48818254621009327,-0.21583598237780133,-0.5030380388431698,-0.6938245724212265,0.5127599707334228,-0.02344260569024082,0.16448536860971885,0.1474156372096043,-0.4592050687259734,0.3572860119532782,0.8182183300194914,0.37141241717924417,0.698377392869054,0.710256847580305,0.8087206338628818,-0.408669582926237,0.7449966650215681,-0.09864014607431056,,,,0.3224869418461081,,,,,-0.822173722174019,-0.04231362074334925,1.0,0.7345571044287678,0.9032428469385622,0.5294521570574374,0.8344989262401308,0.8494084276679279,0.7710935768704469,0.8866054190994068,0.8866054190994068,0.15274824415135524,0.7053697815008533,0.42839192550159166,-0.40098143756066934,0.7926335675193152,0.7878552992952776,,,,,,
          Cellvibrionaceae,-0.595210249856117,-0.17841561209296697,-0.3507501891572081,-0.5039312904046215,0.2669822292727492,-0.09903490870614025,0.09427110320732748,0.1633124555342079,-0.11671976442383396,0.29273510784245294,0.5259907978848934,0.4057500738447724,0.380675100389259,0.40360718400241213,0.5594704064331065,-0.20197981229540607,0.5497464917913564,-0.14408905829157329,,,,0.24062901010669718,,,,,-0.6153611146944686,-0.15901327798028272,0.7345571044287678,1.0,0.7913628566453393,0.6655036093639551,0.7609736987207651,0.6380144264572574,0.7570264589717198,0.6527879790941508,0.6527879790941508,0.12407894099269784,0.6241944958300897,0.257269527861325,-0.07518446289301547,0.7465411674850828,0.7160976008589851,,,,,,
          Oleiphilaceae,-0.5599563725720954,-0.2597112809404794,-0.42595416684587223,-0.6451036536704862,0.34332169297947884,-0.020230218625067214,0.07209627153806127,0.06598376884637683,-0.34083606806260425,0.26818101375509973,0.6480184247455112,0.3582123284147248,0.5512922066092597,0.5466672543373094,0.6495073254838785,-0.3262448097973624,0.6099322851890071,-0.12427708353404925,,,,0.3139729299736125,,,,,-0.7898837495245524,-0.05860404041564766,0.9032428469385622,0.7913628566453393,1.0,0.6045723012429498,0.9249258379166223,0.8783174826458707,0.8204300242850489,0.739149773183344,0.739149773183344,0.08965903551554834,0.6313617813175313,0.21055705071389885,-0.27018516784558805,0.9122621153891665,0.8711427173831015,,,,,,
          Nitrincolaceae,-0.4596473437376449,0.0558644357886993,-0.027070179647588677,-0.2995785595361736,0.21306026676213308,0.06589595986713344,0.2837374540333901,0.35965687094806287,0.13171575362821394,0.28703043119456007,0.4330653456419868,0.4279950909942763,0.2849907053762358,0.3233165656972584,0.36791785667876936,-0.01678778841936495,0.29445617033782595,-0.15347938996249727,,,,0.18753795607911003,,,,,-0.44065478963781357,-0.1324797825710858,0.5294521570574374,0.6655036093639551,0.6045723012429498,1.0,0.47017076140362996,0.3733022887579241,0.55761796847467,0.4503675011418203,0.4503675011418203,0.13660641965615075,0.547730928522888,0.18715871744153403,0.17477733817923544,0.47758324195771545,0.41661649193541783,,,,,,
          Alcanivoracaceae,-0.5362257328938282,-0.40324286407891297,-0.4624163387852064,-0.6158650914402418,0.1875439804599561,-0.15909404209309508,-0.13335271346715943,-0.037515686564907676,-0.38727631860167766,0.09550478982696664,0.5168062339230086,0.15955216447288592,0.4194360466590343,0.43405753644916667,0.6094101939855339,-0.357975712784015,0.5121306519086372,-0.0614823496901537,,,,0.3695169580633521,,,,,-0.7105379693048444,-0.11892087496106214,0.8344989262401308,0.7609736987207651,0.9249258379166223,0.47017076140362996,1.0,0.8506754887139066,0.8955449031601038,0.6922242900190707,0.6922242900190707,0.0022707441430445726,0.5129412220382759,0.12422264483265791,-0.3039204806004518,0.987654412012057,0.9687348690579103,,,,,,
          Halieaceae,-0.5308236556538617,-0.3166413914358919,-0.5432634558281273,-0.655703796083138,0.47783812794652747,-0.1683162217854123,-0.012057849222781861,-0.014471875979451343,-0.45276209104362325,0.24617265712164235,0.6792747760513518,0.12673729758571783,0.684540232450753,0.5963370440847504,0.6163310445229054,-0.3538832577991664,0.5847340100522375,-0.07814920654513856,,,,0.4299918998439295,,,,,-0.7481345594260961,-0.11748523142827337,0.8494084276679279,0.6380144264572574,0.8783174826458707,0.3733022887579241,0.8506754887139066,1.0,0.7319206648814669,0.761383267060722,0.761383267060722,0.14243908248283613,0.5890589813687256,0.3523910002166989,-0.38334982435695014,0.8330093571126823,0.7585041758523234,,,,,,
          Saccharospirillaceae,-0.45804060734652646,-0.31871145687097835,-0.4100698372677064,-0.5433581007493196,0.2195276492901145,-0.12147725378847997,-0.044645863428752194,0.1353674894031573,-0.28413969313504817,0.17593206752814455,0.5014425464378829,0.15260740347271864,0.4490609965129874,0.4067288402413867,0.534203445102427,-0.38258801909411544,0.4661820222362758,-0.05557328055167532,,,,0.2532639217640578,,,,,-0.6260856264756315,-0.08988129160479302,0.7710935768704469,0.7570264589717198,0.8204300242850489,0.55761796847467,0.8955449031601038,0.7319206648814669,1.0,0.6838743653228753,0.6838743653228753,0.04815415106466739,0.47129342587561796,0.15812229657194665,-0.27056778648892,0.8910150571396781,0.8281486332402426,,,,,,
          HTCC2089,-0.5329266683348232,-0.3162067017733889,-0.5504111257868047,-0.7306327743363877,0.44736594103122534,-0.18538641494485292,0.026769764561410177,0.07631250278059924,-0.5705606535355632,0.22239520214104413,0.7237413472560574,0.21241464975395366,0.6980325342904569,0.6277028030226685,0.6978385688556481,-0.474012703731393,0.6382742001071183,-0.07641368502042978,,,,0.44597389513144065,,,,,-0.8360676265856241,-0.11101221038231525,0.8866054190994068,0.6527879790941508,0.739149773183344,0.4503675011418203,0.6922242900190707,0.761383267060722,0.6838743653228753,1.0,1.0,0.18588266623633373,0.6510409074567569,0.45253629350551244,-0.36661957899713726,0.6584798426974258,0.6203074886519266,,,,,,
          Porticoccaceae,-0.5329266683348232,-0.3162067017733889,-0.5504111257868047,-0.7306327743363877,0.44736594103122534,-0.18538641494485292,0.026769764561410177,0.07631250278059924,-0.5705606535355632,0.22239520214104413,0.7237413472560574,0.21241464975395366,0.6980325342904569,0.6277028030226685,0.6978385688556481,-0.474012703731393,0.6382742001071183,-0.07641368502042978,,,,0.44597389513144065,,,,,-0.8360676265856241,-0.11101221038231525,0.8866054190994068,0.6527879790941508,0.739149773183344,0.4503675011418203,0.6922242900190707,0.761383267060722,0.6838743653228753,1.0,1.0,0.18588266623633373,0.6510409074567569,0.45253629350551244,-0.36661957899713726,0.6584798426974258,0.6203074886519266,,,,,,
          UBA7239,0.05586665834898627,-0.17146705869885379,-0.3597487227906754,-0.3797463191501063,0.44131049125181343,-0.1936699126543981,0.03553742486981262,0.12728102739420402,-0.1015068983659082,0.16681326738983313,0.20349253372916407,-0.20363511743365578,0.2410114138883315,0.38010182982770574,-0.06620591060652542,0.021743881711789755,0.22843272300494868,-0.07322086273092955,,,,0.06134482801708398,,,,,-0.2988028486523137,0.003386975127198276,0.15274824415135524,0.12407894099269784,0.08965903551554834,0.13660641965615075,0.0022707441430445726,0.14243908248283613,0.04815415106466739,0.18588266623633373,0.18588266623633373,1.0,0.2261388950747559,0.3963601677500137,0.06512614262387603,-0.027619921169658293,-0.007137943733691524,,,,,,
          Pseudohongiellaceae,-0.500707659459335,-0.08287398074284932,-0.40546823015217087,-0.5103286546912528,0.5508091870393668,-0.12244788232465414,0.2943119662033538,0.23078485156257114,-0.17432899770567045,0.33331311963549703,0.7210340447230928,0.3482960585144752,0.5898454444706567,0.5591836295090484,0.6963240109882217,-0.1890956090468008,0.7017500709287638,-0.19217078871147733,,,,0.1843386121439879,,,,,-0.6224601654711001,-0.1820666036545739,0.7053697815008533,0.6241944958300897,0.6313617813175313,0.547730928522888,0.5129412220382759,0.5890589813687256,0.47129342587561796,0.6510409074567569,0.6510409074567569,0.2261388950747559,1.0,0.5747276140313252,-0.18197442260334382,0.4521931634818485,0.4766134684779468,,,,,,
          UBA5518,-0.1270416091742681,0.044419753366338265,-0.42233600766275864,-0.3739083079926838,0.7608457910549801,-0.10737817040271377,0.27738337869883284,0.3789269878881481,-0.14726407833578706,0.5268757019876226,0.6143855930920996,0.16757346737858927,0.6096378049331279,0.4860885627179134,0.4672075518792051,-0.08652981268458043,0.5785487315811652,-0.10152884849250193,,,,0.27535635450292417,,,,,-0.3819311513035353,-0.10559968056614634,0.42839192550159166,0.257269527861325,0.21055705071389885,0.18715871744153403,0.12422264483265791,0.3523910002166989,0.15812229657194665,0.45253629350551244,0.45253629350551244,0.3963601677500137,0.5747276140313252,1.0,-0.2583475237860187,0.027027156367391524,0.05787137753698695,,,,,,
          Marinomonadaceae,-0.035638066898629944,-0.005076966074903618,0.2456542277866833,0.25667175648529844,-0.22772435112719458,0.06275183149278066,-0.21966035527046687,0.23054179868552288,0.532969515373644,-0.10663627240599569,-0.45080064332695136,0.032184344071421754,-0.4335189255429002,-0.4060759499154512,-0.2383251988835168,0.2676611016692328,-0.4125667437318213,-0.185083321774757,,,,-0.14593663058674888,,,,,0.3724313416926799,-0.01727995685380621,-0.40098143756066934,-0.07518446289301547,-0.27018516784558805,0.17477733817923544,-0.3039204806004518,-0.38334982435695014,-0.27056778648892,-0.36661957899713726,-0.36661957899713726,0.06512614262387603,-0.18197442260334382,-0.2583475237860187,1.0,-0.27256111811533457,-0.2814246578051812,,,,,,
          Ketobacteraceae,-0.5300108801453647,-0.40130238241527044,-0.4131180563818013,-0.5903661897241512,0.12422498299087793,-0.14691859075371205,-0.1646344847569576,-0.0791156496080054,-0.39646826231256305,0.056366446033151774,0.45374768131288623,0.12662157575662758,0.36593332289080344,0.3656923352316469,0.5407450557373363,-0.3544513330482091,0.42848040821859007,-0.031039281035714534,,,,0.36162001240773245,,,,,-0.6729099232847777,-0.1015688879964396,0.7926335675193152,0.7465411674850828,0.9122621153891665,0.47758324195771545,0.987654412012057,0.8330093571126823,0.8910150571396781,0.6584798426974258,0.6584798426974258,-0.027619921169658293,0.4521931634818485,0.027027156367391524,-0.27256111811533457,1.0,0.9421857234544613,,,,,,
