row,col,val
Sporanaerobacter,Sporanaerobacter,1
Sporanaerobacter,UBA6911,0
Sporanaerobacter,RBG-16-42-24,0
Sporanaerobacter,UBA7332,0
Sporanaerobacter,GCF-001939115,0
Sporanaerobacter,Celeribacter_B,0
Sporanaerobacter,Paenibacillus_A,0
Sporanaerobacter,Helicobacter,0
Sporanaerobacter,Ruminobacter,0
Sporanaerobacter,UBA11490,0
Sporanaerobacter,Vecturithrix,0
Sporanaerobacter,TCS61,0
Sporanaerobacter,MED-G21,0
Sporanaerobacter,RBG-16-55-9,0
Sporanaerobacter,Ruminiclostridium_D,0
Sporanaerobacter,AAA240-E13,0
Sporanaerobacter,Caenarcanum,0
Sporanaerobacter,Modestobacter,0
Sporanaerobacter,Vampirovibrio,0
Sporanaerobacter,UBA7951,0
Sporanaerobacter,GCA-2712105,0
Sporanaerobacter,UBA9968,0
Sporanaerobacter,UBA3382,0
Sporanaerobacter,UBA6132,0
Sporanaerobacter,UBA7018,0
Sporanaerobacter,Planktophila,0
Sporanaerobacter,MPNL01,0
Sporanaerobacter,YD0425bin50,0
Sporanaerobacter,Ndongobacter,0
Sporanaerobacter,UBA1558,0
Sporanaerobacter,Alcaligenes,0
Sporanaerobacter,Meiothermus_B,0
Sporanaerobacter,Clostridium_U,0
Sporanaerobacter,Caldanaerobius,0
Sporanaerobacter,1-14-0-20-45-15,0
Sporanaerobacter,Intrasporangium_B,0
Sporanaerobacter,Gramella,0
Sporanaerobacter,UBA4802,0
Sporanaerobacter,Carnimonas,0
Sporanaerobacter,FEB-35,0
Sporanaerobacter,Runella,0
Sporanaerobacter,Flavisolibacter_B,0
Sporanaerobacter,Lactobacillus_G,0
Sporanaerobacter,GCA-002725925,0
Sporanaerobacter,UBA2256,0
Sporanaerobacter,UBA2638,0
Sporanaerobacter,Coprobacter,0
Sporanaerobacter,Cucumibacter,0
Sporanaerobacter,Salinigranum,0
Sporanaerobacter,UBA6038,0
UBA6911,Sporanaerobacter,0
UBA6911,UBA6911,1
UBA6911,RBG-16-42-24,0
UBA6911,UBA7332,0
UBA6911,GCF-001939115,0
UBA6911,Celeribacter_B,0
UBA6911,Paenibacillus_A,0
UBA6911,Helicobacter,0
UBA6911,Ruminobacter,0
UBA6911,UBA11490,0
UBA6911,Vecturithrix,0
UBA6911,TCS61,0
UBA6911,MED-G21,0
UBA6911,RBG-16-55-9,0
UBA6911,Ruminiclostridium_D,0
UBA6911,AAA240-E13,0
UBA6911,Caenarcanum,0
UBA6911,Modestobacter,0
UBA6911,Vampirovibrio,0
UBA6911,UBA7951,0
UBA6911,GCA-2712105,0
UBA6911,UBA9968,0
UBA6911,UBA3382,0
UBA6911,UBA6132,0
UBA6911,UBA7018,0
UBA6911,Planktophila,0
UBA6911,MPNL01,0
UBA6911,YD0425bin50,0
UBA6911,Ndongobacter,0
UBA6911,UBA1558,0
UBA6911,Alcaligenes,0
UBA6911,Meiothermus_B,0
UBA6911,Clostridium_U,0
UBA6911,Caldanaerobius,0
UBA6911,1-14-0-20-45-15,0
UBA6911,Intrasporangium_B,0
UBA6911,Gramella,0
UBA6911,UBA4802,0
UBA6911,Carnimonas,0
UBA6911,FEB-35,0
UBA6911,Runella,0
UBA6911,Flavisolibacter_B,0
UBA6911,Lactobacillus_G,0
UBA6911,GCA-002725925,0
UBA6911,UBA2256,0
UBA6911,UBA2638,0
UBA6911,Coprobacter,0
UBA6911,Cucumibacter,0
UBA6911,Salinigranum,0
UBA6911,UBA6038,0
RBG-16-42-24,Sporanaerobacter,0
RBG-16-42-24,UBA6911,0
RBG-16-42-24,RBG-16-42-24,1
RBG-16-42-24,UBA7332,0
RBG-16-42-24,GCF-001939115,0
RBG-16-42-24,Celeribacter_B,0
RBG-16-42-24,Paenibacillus_A,0
RBG-16-42-24,Helicobacter,0
RBG-16-42-24,Ruminobacter,0
RBG-16-42-24,UBA11490,0
RBG-16-42-24,Vecturithrix,0
RBG-16-42-24,TCS61,0
RBG-16-42-24,MED-G21,0
RBG-16-42-24,RBG-16-55-9,0
RBG-16-42-24,Ruminiclostridium_D,0
RBG-16-42-24,AAA240-E13,0
RBG-16-42-24,Caenarcanum,0
RBG-16-42-24,Modestobacter,0
RBG-16-42-24,Vampirovibrio,0
RBG-16-42-24,UBA7951,0
RBG-16-42-24,GCA-2712105,0
RBG-16-42-24,UBA9968,0
RBG-16-42-24,UBA3382,0
RBG-16-42-24,UBA6132,0
RBG-16-42-24,UBA7018,0
RBG-16-42-24,Planktophila,0
RBG-16-42-24,MPNL01,0
RBG-16-42-24,YD0425bin50,0
RBG-16-42-24,Ndongobacter,0
RBG-16-42-24,UBA1558,0
RBG-16-42-24,Alcaligenes,0
RBG-16-42-24,Meiothermus_B,0
RBG-16-42-24,Clostridium_U,0
RBG-16-42-24,Caldanaerobius,0
RBG-16-42-24,1-14-0-20-45-15,0
RBG-16-42-24,Intrasporangium_B,0
RBG-16-42-24,Gramella,0
RBG-16-42-24,UBA4802,0
RBG-16-42-24,Carnimonas,0
RBG-16-42-24,FEB-35,0
RBG-16-42-24,Runella,0
RBG-16-42-24,Flavisolibacter_B,0
RBG-16-42-24,Lactobacillus_G,0
RBG-16-42-24,GCA-002725925,0
RBG-16-42-24,UBA2256,0
RBG-16-42-24,UBA2638,0
RBG-16-42-24,Coprobacter,0
RBG-16-42-24,Cucumibacter,0
RBG-16-42-24,Salinigranum,0
RBG-16-42-24,UBA6038,0
UBA7332,Sporanaerobacter,0
UBA7332,UBA6911,0
UBA7332,RBG-16-42-24,0
UBA7332,UBA7332,1
UBA7332,GCF-001939115,0
UBA7332,Celeribacter_B,0
UBA7332,Paenibacillus_A,0
UBA7332,Helicobacter,0
UBA7332,Ruminobacter,0
UBA7332,UBA11490,0
UBA7332,Vecturithrix,0
UBA7332,TCS61,0
UBA7332,MED-G21,0
UBA7332,RBG-16-55-9,0
UBA7332,Ruminiclostridium_D,0
UBA7332,AAA240-E13,0
UBA7332,Caenarcanum,0
UBA7332,Modestobacter,0
UBA7332,Vampirovibrio,0
UBA7332,UBA7951,0
UBA7332,GCA-2712105,0
UBA7332,UBA9968,0
UBA7332,UBA3382,0
UBA7332,UBA6132,0
UBA7332,UBA7018,0
UBA7332,Planktophila,0
UBA7332,MPNL01,0
UBA7332,YD0425bin50,0
UBA7332,Ndongobacter,0
UBA7332,UBA1558,0
UBA7332,Alcaligenes,0
UBA7332,Meiothermus_B,0
UBA7332,Clostridium_U,0
UBA7332,Caldanaerobius,0
UBA7332,1-14-0-20-45-15,0
UBA7332,Intrasporangium_B,0
UBA7332,Gramella,0
UBA7332,UBA4802,0
UBA7332,Carnimonas,0
UBA7332,FEB-35,0
UBA7332,Runella,0
UBA7332,Flavisolibacter_B,0
UBA7332,Lactobacillus_G,0
UBA7332,GCA-002725925,0
UBA7332,UBA2256,0
UBA7332,UBA2638,0
UBA7332,Coprobacter,0
UBA7332,Cucumibacter,0
UBA7332,Salinigranum,0
UBA7332,UBA6038,0
GCF-001939115,Sporanaerobacter,0
GCF-001939115,UBA6911,0
GCF-001939115,RBG-16-42-24,0
GCF-001939115,UBA7332,0
GCF-001939115,GCF-001939115,1
GCF-001939115,Celeribacter_B,0
GCF-001939115,Paenibacillus_A,0
GCF-001939115,Helicobacter,0
GCF-001939115,Ruminobacter,0
GCF-001939115,UBA11490,0
GCF-001939115,Vecturithrix,0
GCF-001939115,TCS61,0
GCF-001939115,MED-G21,0
GCF-001939115,RBG-16-55-9,0
GCF-001939115,Ruminiclostridium_D,0
GCF-001939115,AAA240-E13,0
GCF-001939115,Caenarcanum,0
GCF-001939115,Modestobacter,0
GCF-001939115,Vampirovibrio,0
GCF-001939115,UBA7951,0
GCF-001939115,GCA-2712105,0
GCF-001939115,UBA9968,0
GCF-001939115,UBA3382,0
GCF-001939115,UBA6132,0
GCF-001939115,UBA7018,0
GCF-001939115,Planktophila,0
GCF-001939115,MPNL01,0
GCF-001939115,YD0425bin50,0
GCF-001939115,Ndongobacter,0
GCF-001939115,UBA1558,0
GCF-001939115,Alcaligenes,0
GCF-001939115,Meiothermus_B,0
GCF-001939115,Clostridium_U,0
GCF-001939115,Caldanaerobius,0
GCF-001939115,1-14-0-20-45-15,0
GCF-001939115,Intrasporangium_B,0
GCF-001939115,Gramella,0
GCF-001939115,UBA4802,0
GCF-001939115,Carnimonas,0
GCF-001939115,FEB-35,0
GCF-001939115,Runella,0
GCF-001939115,Flavisolibacter_B,0
GCF-001939115,Lactobacillus_G,0
GCF-001939115,GCA-002725925,0
GCF-001939115,UBA2256,0
GCF-001939115,UBA2638,0
GCF-001939115,Coprobacter,0
GCF-001939115,Cucumibacter,0
GCF-001939115,Salinigranum,0
GCF-001939115,UBA6038,0
Celeribacter_B,Sporanaerobacter,0
Celeribacter_B,UBA6911,0
Celeribacter_B,RBG-16-42-24,0
Celeribacter_B,UBA7332,0
Celeribacter_B,GCF-001939115,0
Celeribacter_B,Celeribacter_B,1
Celeribacter_B,Paenibacillus_A,0
Celeribacter_B,Helicobacter,0
Celeribacter_B,Ruminobacter,0
Celeribacter_B,UBA11490,0
Celeribacter_B,Vecturithrix,0
Celeribacter_B,TCS61,0
Celeribacter_B,MED-G21,0
Celeribacter_B,RBG-16-55-9,0
Celeribacter_B,Ruminiclostridium_D,0
Celeribacter_B,AAA240-E13,0
Celeribacter_B,Caenarcanum,0
Celeribacter_B,Modestobacter,0
Celeribacter_B,Vampirovibrio,0
Celeribacter_B,UBA7951,0
Celeribacter_B,GCA-2712105,0
Celeribacter_B,UBA9968,0
Celeribacter_B,UBA3382,0
Celeribacter_B,UBA6132,0
Celeribacter_B,UBA7018,0
Celeribacter_B,Planktophila,0
Celeribacter_B,MPNL01,0
Celeribacter_B,YD0425bin50,0
Celeribacter_B,Ndongobacter,0
Celeribacter_B,UBA1558,0
Celeribacter_B,Alcaligenes,0
Celeribacter_B,Meiothermus_B,0
Celeribacter_B,Clostridium_U,0
Celeribacter_B,Caldanaerobius,0
Celeribacter_B,1-14-0-20-45-15,0
Celeribacter_B,Intrasporangium_B,0
Celeribacter_B,Gramella,0
Celeribacter_B,UBA4802,0
Celeribacter_B,Carnimonas,0
Celeribacter_B,FEB-35,0
Celeribacter_B,Runella,0
Celeribacter_B,Flavisolibacter_B,0
Celeribacter_B,Lactobacillus_G,0
Celeribacter_B,GCA-002725925,0
Celeribacter_B,UBA2256,0
Celeribacter_B,UBA2638,0
Celeribacter_B,Coprobacter,0
Celeribacter_B,Cucumibacter,0
Celeribacter_B,Salinigranum,0
Celeribacter_B,UBA6038,0
Paenibacillus_A,Sporanaerobacter,0
Paenibacillus_A,UBA6911,0
Paenibacillus_A,RBG-16-42-24,0
Paenibacillus_A,UBA7332,0
Paenibacillus_A,GCF-001939115,0
Paenibacillus_A,Celeribacter_B,0
Paenibacillus_A,Paenibacillus_A,1
Paenibacillus_A,Helicobacter,0
Paenibacillus_A,Ruminobacter,0
Paenibacillus_A,UBA11490,0
Paenibacillus_A,Vecturithrix,0
Paenibacillus_A,TCS61,0
Paenibacillus_A,MED-G21,0
Paenibacillus_A,RBG-16-55-9,0
Paenibacillus_A,Ruminiclostridium_D,0
Paenibacillus_A,AAA240-E13,0
Paenibacillus_A,Caenarcanum,0
Paenibacillus_A,Modestobacter,0
Paenibacillus_A,Vampirovibrio,0
Paenibacillus_A,UBA7951,0
Paenibacillus_A,GCA-2712105,0
Paenibacillus_A,UBA9968,0
Paenibacillus_A,UBA3382,0
Paenibacillus_A,UBA6132,0
Paenibacillus_A,UBA7018,0
Paenibacillus_A,Planktophila,0
Paenibacillus_A,MPNL01,0
Paenibacillus_A,YD0425bin50,0
Paenibacillus_A,Ndongobacter,0
Paenibacillus_A,UBA1558,0
Paenibacillus_A,Alcaligenes,0
Paenibacillus_A,Meiothermus_B,0
Paenibacillus_A,Clostridium_U,0
Paenibacillus_A,Caldanaerobius,0
Paenibacillus_A,1-14-0-20-45-15,0
Paenibacillus_A,Intrasporangium_B,0
Paenibacillus_A,Gramella,0
Paenibacillus_A,UBA4802,0
Paenibacillus_A,Carnimonas,0
Paenibacillus_A,FEB-35,0
Paenibacillus_A,Runella,0
Paenibacillus_A,Flavisolibacter_B,0
Paenibacillus_A,Lactobacillus_G,0
Paenibacillus_A,GCA-002725925,0
Paenibacillus_A,UBA2256,0
Paenibacillus_A,UBA2638,0
Paenibacillus_A,Coprobacter,0
Paenibacillus_A,Cucumibacter,0
Paenibacillus_A,Salinigranum,0
Paenibacillus_A,UBA6038,0
Helicobacter,Sporanaerobacter,0
Helicobacter,UBA6911,0
Helicobacter,RBG-16-42-24,0
Helicobacter,UBA7332,0
Helicobacter,GCF-001939115,0
Helicobacter,Celeribacter_B,0
Helicobacter,Paenibacillus_A,0
Helicobacter,Helicobacter,1
Helicobacter,Ruminobacter,0
Helicobacter,UBA11490,0
Helicobacter,Vecturithrix,0
Helicobacter,TCS61,0
Helicobacter,MED-G21,0
Helicobacter,RBG-16-55-9,0
Helicobacter,Ruminiclostridium_D,0
Helicobacter,AAA240-E13,0
Helicobacter,Caenarcanum,0
Helicobacter,Modestobacter,0
Helicobacter,Vampirovibrio,0
Helicobacter,UBA7951,0
Helicobacter,GCA-2712105,0
Helicobacter,UBA9968,0
Helicobacter,UBA3382,0
Helicobacter,UBA6132,0
Helicobacter,UBA7018,0
Helicobacter,Planktophila,0
Helicobacter,MPNL01,0
Helicobacter,YD0425bin50,0
Helicobacter,Ndongobacter,0
Helicobacter,UBA1558,0
Helicobacter,Alcaligenes,0
Helicobacter,Meiothermus_B,0
Helicobacter,Clostridium_U,0
Helicobacter,Caldanaerobius,0
Helicobacter,1-14-0-20-45-15,0
Helicobacter,Intrasporangium_B,0
Helicobacter,Gramella,0
